title,company,location,skills_required,domain,stipend,duration,description
DevOps Intern,QuantifyX 3,Delhi,"Monitoring, Docker, Kubernetes, AWS, Terraform, CI/CD, Linux, PostgreSQL",DevOps,18000,5 months,"DevOps Intern at QuantifyX 3 in Delhi. Focus on devops projects with Monitoring, Docker, Kubernetes, AWS, Terraform."
Cloud Engineering Intern,TechCorp 4,Mumbai,"Azure, GCP, Docker, Terraform, Kubernetes",Cloud,19000,2 months,"Cloud Engineering Intern at TechCorp 4 in Mumbai. Focus on cloud projects with Azure, GCP, Docker, Terraform, Kubernetes."
Computer Vision Intern,Analytics Hub 4,Noida,"PyTorch, Image Processing, Python, Object Detection, CNN, Airflow, Bash",Computer Vision,20000,3 months,"Computer Vision Intern at Analytics Hub 4 in Noida. Focus on computer vision projects with PyTorch, Image Processing, Python, Object Detection, CNN."
Security Engineering Intern,AI Lab 4,Gurugram,"OAuth, Network Security, Threat Modeling, SAST, Secure Coding, IAM, AWS, Azure",Security,21000,4 months,"Security Engineering Intern at AI Lab 4 in Gurugram. Focus on security projects with OAuth, Network Security, Threat Modeling, SAST, Secure Coding."
Product Analytics Intern,StartupXYZ 4,Kolkata,"Power BI, SQL, A/B Testing, Excel, Django, CI/CD",Analytics,22000,5 months,"Product Analytics Intern at StartupXYZ 4 in Kolkata. Focus on analytics projects with Power BI, SQL, A/B Testing, Excel, Django."
Machine Learning Intern,VisionTech 4,Bangalore,"Matplotlib, Feature Engineering, pandas, A/B Testing, NumPy, BERT, AWS",AI/ML,23000,2 months,"Machine Learning Intern at VisionTech 4 in Bangalore. Focus on ai/ml projects with Matplotlib, Feature Engineering, pandas, A/B Testing, NumPy."
Data Science Intern,CloudNine 4,Hyderabad,"Spark, Python, Tableau, pandas, Visualization, Statistics, NumPy",Data Science,24000,3 months,"Data Science Intern at CloudNine 4 in Hyderabad. Focus on data science projects with Spark, Python, Tableau, pandas, Visualization."
NLP Research Intern,DataForge 4,Pune,"NLTK, Python, BERT, RAG, Embeddings, Transformers",NLP,25000,4 months,"NLP Research Intern at DataForge 4 in Pune. Focus on nlp projects with NLTK, Python, BERT, RAG, Embeddings."
Backend Developer Intern,NextGen Systems 4,Chennai,"REST APIs, Python, FastAPI, PostgreSQL, Docker, CI/CD, Linux",Backend,26000,5 months,"Backend Developer Intern at NextGen Systems 4 in Chennai. Focus on backend projects with REST APIs, Python, FastAPI, PostgreSQL, Docker."
Frontend Developer Intern,InnoSoft 4,Remote,"JavaScript, HTML, UI/UX, Next.js, React, TypeScript, BERT, CNN",Frontend,27000,2 months,"Frontend Developer Intern at InnoSoft 4 in Remote. Focus on frontend projects with JavaScript, HTML, UI/UX, Next.js, React."
DevOps Intern,BrightEdge 4,Delhi,"Kubernetes, Linux, CI/CD, Monitoring, AWS",DevOps,28000,3 months,"DevOps Intern at BrightEdge 4 in Delhi. Focus on devops projects with Kubernetes, Linux, CI/CD, Monitoring, AWS."
Cloud Engineering Intern,NexusAI 4,Mumbai,"GCP, Docker, Terraform, AWS, Linux, PostgreSQL, CI/CD",Cloud,29000,4 months,"Cloud Engineering Intern at NexusAI 4 in Mumbai. Focus on cloud projects with GCP, Docker, Terraform, AWS, Linux."
Computer Vision Intern,QuantifyX 4,Noida,"Image Processing, Python, Object Detection, CNN, PyTorch, OpenCV, Ansible, CSS",Computer Vision,30000,5 months,"Computer Vision Intern at QuantifyX 4 in Noida. Focus on computer vision projects with Image Processing, Python, Object Detection, CNN, PyTorch."
Security Engineering Intern,TechCorp 5,Gurugram,"Secure Coding, OAuth, IAM, Threat Modeling, Azure, Django",Security,31000,2 months,"Security Engineering Intern at TechCorp 5 in Gurugram. Focus on security projects with Secure Coding, OAuth, IAM, Threat Modeling, Azure."
Product Analytics Intern,Analytics Hub 5,Kolkata,"Statistics, Tableau, SQL, A/B Testing, Excel, Analytical Thinking, Ansible",Analytics,32000,3 months,"Product Analytics Intern at Analytics Hub 5 in Kolkata. Focus on analytics projects with Statistics, Tableau, SQL, A/B Testing, Excel."
Machine Learning Intern,AI Lab 5,Bangalore,"TensorFlow, pandas, Python, PyTorch, A/B Testing, Feature Engineering, C++, CI/CD",AI/ML,8000,4 months,"Machine Learning Intern at AI Lab 5 in Bangalore. Focus on ai/ml projects with TensorFlow, pandas, Python, PyTorch, A/B Testing."
Data Science Intern,StartupXYZ 5,Hyderabad,"NumPy, Tableau, SQL, Visualization, Statistics, pandas",Data Science,9000,5 months,"Data Science Intern at StartupXYZ 5 in Hyderabad. Focus on data science projects with NumPy, Tableau, SQL, Visualization, Statistics."
NLP Research Intern,VisionTech 5,Pune,"BERT, RAG, Python, Embeddings, Transformers",NLP,10000,2 months,"NLP Research Intern at VisionTech 5 in Pune. Focus on nlp projects with BERT, RAG, Python, Embeddings, Transformers."
Backend Developer Intern,CloudNine 5,Chennai,"Python, Django, FastAPI, Docker, Microservices, REST APIs, CI/CD, AWS",Backend,11000,3 months,"Backend Developer Intern at CloudNine 5 in Chennai. Focus on backend projects with Python, Django, FastAPI, Docker, Microservices."
Frontend Developer Intern,DataForge 5,Remote,"Tailwind CSS, HTML, JavaScript, CSS, Airflow, Ansible",Frontend,12000,4 months,"Frontend Developer Intern at DataForge 5 in Remote. Focus on frontend projects with Tailwind CSS, HTML, JavaScript, CSS, Airflow."
DevOps Intern,NextGen Systems 5,Delhi,"AWS, Docker, Linux, Kubernetes, CI/CD",DevOps,13000,5 months,"DevOps Intern at NextGen Systems 5 in Delhi. Focus on devops projects with AWS, Docker, Linux, Kubernetes, CI/CD."
Cloud Engineering Intern,InnoSoft 5,Mumbai,"GCP, Terraform, AWS, Linux, Kubernetes, Docker",Cloud,14000,2 months,"Cloud Engineering Intern at InnoSoft 5 in Mumbai. Focus on cloud projects with GCP, Terraform, AWS, Linux, Kubernetes."
Computer Vision Intern,BrightEdge 5,Noida,"CNN, Image Processing, PyTorch, Object Detection, Ansible, Bash",Computer Vision,15000,3 months,"Computer Vision Intern at BrightEdge 5 in Noida. Focus on computer vision projects with CNN, Image Processing, PyTorch, Object Detection, Ansible."
Security Engineering Intern,NexusAI 5,Gurugram,"OAuth, SAST, Network Security, Secure Coding, IAM, CNN, Communication",Security,16000,4 months,"Security Engineering Intern at NexusAI 5 in Gurugram. Focus on security projects with OAuth, SAST, Network Security, Secure Coding, IAM."
Product Analytics Intern,QuantifyX 5,Kolkata,"A/B Testing, Excel, Tableau, SQL, Power BI, Statistics, AWS, Docker",Analytics,17000,5 months,"Product Analytics Intern at QuantifyX 5 in Kolkata. Focus on analytics projects with A/B Testing, Excel, Tableau, SQL, Power BI."
Machine Learning Intern,TechCorp 6,Bangalore,"scikit-learn, A/B Testing, Matplotlib, Feature Engineering, CSS, CI/CD",AI/ML,18000,2 months,"Machine Learning Intern at TechCorp 6 in Bangalore. Focus on ai/ml projects with scikit-learn, A/B Testing, Matplotlib, Feature Engineering, CSS."
Data Science Intern,Analytics Hub 6,Hyderabad,"NumPy, Spark, Python, Tableau, SQL, pandas, Statistics",Data Science,19000,3 months,"Data Science Intern at Analytics Hub 6 in Hyderabad. Focus on data science projects with NumPy, Spark, Python, Tableau, SQL."
NLP Research Intern,AI Lab 6,Pune,"BERT, RAG, Python, NLTK, Prompt Engineering, Transformers",NLP,20000,4 months,"NLP Research Intern at AI Lab 6 in Pune. Focus on nlp projects with BERT, RAG, Python, NLTK, Prompt Engineering."
Backend Developer Intern,StartupXYZ 6,Chennai,"Docker, REST APIs, Django, Python",Backend,21000,5 months,"Backend Developer Intern at StartupXYZ 6 in Chennai. Focus on backend projects with Docker, REST APIs, Django, Python."
Frontend Developer Intern,VisionTech 6,Remote,"React, HTML, UI/UX, JavaScript, Tailwind CSS, Flask, Communication",Frontend,22000,2 months,"Frontend Developer Intern at VisionTech 6 in Remote. Focus on frontend projects with React, HTML, UI/UX, JavaScript, Tailwind CSS."
DevOps Intern,CloudNine 6,Delhi,"Linux, Terraform, Monitoring, CI/CD, AWS, Docker, PostgreSQL",DevOps,23000,3 months,"DevOps Intern at CloudNine 6 in Delhi. Focus on devops projects with Linux, Terraform, Monitoring, CI/CD, AWS."
Cloud Engineering Intern,DataForge 6,Mumbai,"Azure, GCP, AWS, Docker, CI/CD",Cloud,24000,4 months,"Cloud Engineering Intern at DataForge 6 in Mumbai. Focus on cloud projects with Azure, GCP, AWS, Docker, CI/CD."
Computer Vision Intern,NextGen Systems 6,Noida,"Image Processing, OpenCV, CNN, Object Detection, Python, Flask",Computer Vision,25000,5 months,"Computer Vision Intern at NextGen Systems 6 in Noida. Focus on computer vision projects with Image Processing, OpenCV, CNN, Object Detection, Python."
Security Engineering Intern,InnoSoft 6,Gurugram,"SAST, Secure Coding, IAM, Network Security, OAuth, Threat Modeling, CNN, Celery",Security,26000,2 months,"Security Engineering Intern at InnoSoft 6 in Gurugram. Focus on security projects with SAST, Secure Coding, IAM, Network Security, OAuth."
Product Analytics Intern,BrightEdge 6,Kolkata,"A/B Testing, Tableau, Excel, SQL, Communication, Celery",Analytics,27000,3 months,"Product Analytics Intern at BrightEdge 6 in Kolkata. Focus on analytics projects with A/B Testing, Tableau, Excel, SQL, Communication."
Machine Learning Intern,NexusAI 6,Bangalore,"NumPy, TensorFlow, scikit-learn, Feature Engineering, Python, CI/CD, Flask",AI/ML,28000,4 months,"Machine Learning Intern at NexusAI 6 in Bangalore. Focus on ai/ml projects with NumPy, TensorFlow, scikit-learn, Feature Engineering, Python."
Data Science Intern,QuantifyX 6,Hyderabad,"NumPy, Power BI, Visualization, Statistics, Tableau, pandas",Data Science,29000,5 months,"Data Science Intern at QuantifyX 6 in Hyderabad. Focus on data science projects with NumPy, Power BI, Visualization, Statistics, Tableau."
NLP Research Intern,TechCorp 7,Pune,"Prompt Engineering, Embeddings, spaCy, BERT, RAG",NLP,30000,2 months,"NLP Research Intern at TechCorp 7 in Pune. Focus on nlp projects with Prompt Engineering, Embeddings, spaCy, BERT, RAG."
Backend Developer Intern,Analytics Hub 7,Chennai,"Docker, Python, Django, REST APIs, Microservices, Kubernetes, Linux",Backend,31000,3 months,"Backend Developer Intern at Analytics Hub 7 in Chennai. Focus on backend projects with Docker, Python, Django, REST APIs, Microservices."
Frontend Developer Intern,AI Lab 7,Remote,"HTML, TypeScript, Tailwind CSS, CSS, JavaScript, Next.js, Bash, Docker",Frontend,32000,4 months,"Frontend Developer Intern at AI Lab 7 in Remote. Focus on frontend projects with HTML, TypeScript, Tailwind CSS, CSS, JavaScript."
DevOps Intern,StartupXYZ 7,Delhi,"AWS, Docker, CI/CD, Monitoring",DevOps,8000,5 months,"DevOps Intern at StartupXYZ 7 in Delhi. Focus on devops projects with AWS, Docker, CI/CD, Monitoring."
Cloud Engineering Intern,VisionTech 7,Mumbai,"Azure, Linux, Docker, Kubernetes, Terraform",Cloud,9000,2 months,"Cloud Engineering Intern at VisionTech 7 in Mumbai. Focus on cloud projects with Azure, Linux, Docker, Kubernetes, Terraform."
Computer Vision Intern,CloudNine 7,Noida,"Object Detection, Python, Image Processing, OpenCV, PyTorch, CNN, Embeddings, Django",Computer Vision,10000,3 months,"Computer Vision Intern at CloudNine 7 in Noida. Focus on computer vision projects with Object Detection, Python, Image Processing, OpenCV, PyTorch."
Security Engineering Intern,DataForge 7,Gurugram,"Secure Coding, Threat Modeling, OAuth, SAST, Django, Ansible",Security,11000,4 months,"Security Engineering Intern at DataForge 7 in Gurugram. Focus on security projects with Secure Coding, Threat Modeling, OAuth, SAST, Django."
Product Analytics Intern,NextGen Systems 7,Kolkata,"Power BI, Statistics, Tableau, Excel, A/B Testing, FastAPI, Django",Analytics,12000,5 months,"Product Analytics Intern at NextGen Systems 7 in Kolkata. Focus on analytics projects with Power BI, Statistics, Tableau, Excel, A/B Testing."
Machine Learning Intern,InnoSoft 7,Bangalore,"NumPy, Feature Engineering, scikit-learn, A/B Testing, pandas, PyTorch, Embeddings, Docker",AI/ML,13000,2 months,"Machine Learning Intern at InnoSoft 7 in Bangalore. Focus on ai/ml projects with NumPy, Feature Engineering, scikit-learn, A/B Testing, pandas."
Data Science Intern,BrightEdge 7,Hyderabad,"NumPy, Statistics, Spark, Python, Tableau",Data Science,14000,3 months,"Data Science Intern at BrightEdge 7 in Hyderabad. Focus on data science projects with NumPy, Statistics, Spark, Python, Tableau."
NLP Research Intern,NexusAI 7,Pune,"BERT, NLTK, RAG, Prompt Engineering, Python, Embeddings",NLP,15000,4 months,"NLP Research Intern at NexusAI 7 in Pune. Focus on nlp projects with BERT, NLTK, RAG, Prompt Engineering, Python."
Backend Developer Intern,QuantifyX 7,Chennai,"FastAPI, PostgreSQL, Microservices, REST APIs, Python, Docker",Backend,16000,5 months,"Backend Developer Intern at QuantifyX 7 in Chennai. Focus on backend projects with FastAPI, PostgreSQL, Microservices, REST APIs, Python."
Frontend Developer Intern,TechCorp 8,Remote,"UI/UX, Next.js, JavaScript, TypeScript, Communication, Celery",Frontend,17000,2 months,"Frontend Developer Intern at TechCorp 8 in Remote. Focus on frontend projects with UI/UX, Next.js, JavaScript, TypeScript, Communication."
DevOps Intern,Analytics Hub 8,Delhi,"Monitoring, AWS, Docker, CI/CD, Kubernetes, REST APIs",DevOps,18000,3 months,"DevOps Intern at Analytics Hub 8 in Delhi. Focus on devops projects with Monitoring, AWS, Docker, CI/CD, Kubernetes."
Cloud Engineering Intern,AI Lab 8,Mumbai,"GCP, Docker, Linux, Azure, Kubernetes, AWS, REST APIs, PostgreSQL",Cloud,19000,4 months,"Cloud Engineering Intern at AI Lab 8 in Mumbai. Focus on cloud projects with GCP, Docker, Linux, Azure, Kubernetes."
Computer Vision Intern,StartupXYZ 8,Noida,"PyTorch, Python, Object Detection, OpenCV, Celery, Azure",Computer Vision,20000,5 months,"Computer Vision Intern at StartupXYZ 8 in Noida. Focus on computer vision projects with PyTorch, Python, Object Detection, OpenCV, Celery."
Security Engineering Intern,VisionTech 8,Gurugram,"Network Security, OAuth, Secure Coding, Threat Modeling, SAST, Airflow, Communication",Security,21000,2 months,"Security Engineering Intern at VisionTech 8 in Gurugram. Focus on security projects with Network Security, OAuth, Secure Coding, Threat Modeling, SAST."
Product Analytics Intern,CloudNine 8,Kolkata,"Excel, Power BI, A/B Testing, SQL, Statistics, Tableau, CNN, BERT",Analytics,22000,3 months,"Product Analytics Intern at CloudNine 8 in Kolkata. Focus on analytics projects with Excel, Power BI, A/B Testing, SQL, Statistics."
Machine Learning Intern,DataForge 8,Bangalore,"Feature Engineering, PyTorch, NumPy, scikit-learn, C++, Communication",AI/ML,23000,4 months,"Machine Learning Intern at DataForge 8 in Bangalore. Focus on ai/ml projects with Feature Engineering, PyTorch, NumPy, scikit-learn, C++."
Data Science Intern,NextGen Systems 8,Hyderabad,"Statistics, SQL, NumPy, Python, Spark",Data Science,24000,5 months,"Data Science Intern at NextGen Systems 8 in Hyderabad. Focus on data science projects with Statistics, SQL, NumPy, Python, Spark."
NLP Research Intern,InnoSoft 8,Pune,"Transformers, Embeddings, Python, RAG, BERT, Prompt Engineering",NLP,25000,2 months,"NLP Research Intern at InnoSoft 8 in Pune. Focus on nlp projects with Transformers, Embeddings, Python, RAG, BERT."
Backend Developer Intern,BrightEdge 8,Chennai,"REST APIs, FastAPI, Docker, Microservices, PostgreSQL, AWS",Backend,26000,3 months,"Backend Developer Intern at BrightEdge 8 in Chennai. Focus on backend projects with REST APIs, FastAPI, Docker, Microservices, PostgreSQL."
Frontend Developer Intern,NexusAI 8,Remote,"TypeScript, HTML, UI/UX, Next.js, React, CSS, Azure",Frontend,27000,4 months,"Frontend Developer Intern at NexusAI 8 in Remote. Focus on frontend projects with TypeScript, HTML, UI/UX, Next.js, React."
DevOps Intern,QuantifyX 8,Delhi,"AWS, Monitoring, Docker, Kubernetes, CI/CD, Terraform",DevOps,28000,5 months,"DevOps Intern at QuantifyX 8 in Delhi. Focus on devops projects with AWS, Monitoring, Docker, Kubernetes, CI/CD."
Cloud Engineering Intern,TechCorp 9,Mumbai,"GCP, Kubernetes, Docker, Linux, AWS",Cloud,29000,2 months,"Cloud Engineering Intern at TechCorp 9 in Mumbai. Focus on cloud projects with GCP, Kubernetes, Docker, Linux, AWS."
Computer Vision Intern,Analytics Hub 9,Noida,"Python, Image Processing, OpenCV, Object Detection, PyTorch, Flask, Analytical Thinking",Computer Vision,30000,3 months,"Computer Vision Intern at Analytics Hub 9 in Noida. Focus on computer vision projects with Python, Image Processing, OpenCV, Object Detection, PyTorch."
Security Engineering Intern,AI Lab 9,Gurugram,"Threat Modeling, Secure Coding, IAM, Network Security, OAuth, SAST, Airflow, Embeddings",Security,31000,4 months,"Security Engineering Intern at AI Lab 9 in Gurugram. Focus on security projects with Threat Modeling, Secure Coding, IAM, Network Security, OAuth."
Product Analytics Intern,StartupXYZ 9,Kolkata,"A/B Testing, Tableau, SQL, Excel, Docker, Analytical Thinking",Analytics,32000,5 months,"Product Analytics Intern at StartupXYZ 9 in Kolkata. Focus on analytics projects with A/B Testing, Tableau, SQL, Excel, Docker."
Machine Learning Intern,VisionTech 9,Bangalore,"Matplotlib, PyTorch, Feature Engineering, scikit-learn, pandas, Communication, Azure",AI/ML,8000,2 months,"Machine Learning Intern at VisionTech 9 in Bangalore. Focus on ai/ml projects with Matplotlib, PyTorch, Feature Engineering, scikit-learn, pandas."
Data Science Intern,CloudNine 9,Hyderabad,"Spark, Statistics, Visualization, Power BI, NumPy, Tableau, pandas",Data Science,9000,3 months,"Data Science Intern at CloudNine 9 in Hyderabad. Focus on data science projects with Spark, Statistics, Visualization, Power BI, NumPy."
NLP Research Intern,DataForge 9,Pune,"Embeddings, RAG, spaCy, Python",NLP,10000,4 months,"NLP Research Intern at DataForge 9 in Pune. Focus on nlp projects with Embeddings, RAG, spaCy, Python."
Backend Developer Intern,NextGen Systems 9,Chennai,"FastAPI, PostgreSQL, REST APIs, Docker, Microservices",Backend,11000,5 months,"Backend Developer Intern at NextGen Systems 9 in Chennai. Focus on backend projects with FastAPI, PostgreSQL, REST APIs, Docker, Microservices."
Frontend Developer Intern,InnoSoft 9,Remote,"CSS, TypeScript, Next.js, Tailwind CSS, React, HTML, CNN, C++",Frontend,12000,2 months,"Frontend Developer Intern at InnoSoft 9 in Remote. Focus on frontend projects with CSS, TypeScript, Next.js, Tailwind CSS, React."
DevOps Intern,BrightEdge 9,Delhi,"AWS, Terraform, Linux, Docker, CI/CD",DevOps,13000,3 months,"DevOps Intern at BrightEdge 9 in Delhi. Focus on devops projects with AWS, Terraform, Linux, Docker, CI/CD."
